min,max,kappa,f1,percentage_below_min,rows_below_min
0.95,1.0,,0.0,100.0,241
0.9,0.95,,0.0,100.0,241
0.85,0.9,,0.0,100.0,241
0.8,0.85,,0.0,100.0,241
0.75,0.8,,0.0,100.0,241
0.7,0.75,,0.0,100.0,241
0.65,0.7,,0.0,100.0,241
0.6,0.65,,0.0,100.0,241
0.55,0.6,0.0,0.0,99.5850622406639,240
0.5,0.55,,0.0,99.5850622406639,240
0.45,0.5,0.0,0.0,99.1701244813278,239
0.4,0.45,,0.011363636363636364,98.7551867219917,238
0.35,0.4,0.0,0.0,98.3402489626556,237
0.3,0.35,0.17241379310344818,0.013257575757575756,95.850622406639,231
0.25,0.3,0.6363636363636364,0.022727272727272728,94.1908713692946,227
0.2,0.25,-0.05882352941176472,0.0037878787878787876,90.45643153526972,218
0.15,0.2,0.14473684210526305,0.01028138528138528,85.06224066390041,205
0.1,0.15,-0.02857142857142847,0.00430132527319228,68.46473029045643,165
0.05,0.1,0.039059218815623575,0.01574552341597796,31.950207468879665,77
0.0,0.05,0.023886827458255877,0.011107172397494978,3.319502074688797,8
