min,max,kappa,f1,percentage_below_min,rows_below_min,percentage_below_min_and_zero,rows_below_min_and_zero
0.95,1.0,0.03963998420460513,0.06735492121233409,29.80132450331126,270,23.951434878587197,217
0.9,0.95,0.0016477596805881678,0.001336898395721925,10.154525386313466,92,8.27814569536424,75
0.85,0.9,-0.0016687526074259385,0.0,4.746136865342163,43,3.642384105960265,33
0.8,0.85,0.0,0.0,2.869757174392936,26,1.9867549668874174,18
0.75,0.8,-0.012499999999999956,0.0,1.8763796909492272,17,1.2141280353200883,11
0.7,0.75,-0.008333333333333304,0.0,0.6622516556291391,6,0.5518763796909493,5
0.65,0.7,0.0,0.0,0.33112582781456956,3,0.22075055187637968,2
0.6,0.65,0.0,0.0,0.22075055187637968,2,0.11037527593818984,1
0.55,0.6,0.0,0.0,0.11037527593818984,1,0.11037527593818984,1
0.5,0.55,,0.0,0.11037527593818984,1,0.11037527593818984,1
0.45,0.5,,0.0,0.11037527593818984,1,0.11037527593818984,1
0.4,0.45,,0.0,0.11037527593818984,1,0.11037527593818984,1
0.35,0.4,,0.0,0.11037527593818984,1,0.11037527593818984,1
0.3,0.35,,0.0,0.11037527593818984,1,0.11037527593818984,1
0.25,0.3,0.0,0.0,0.0,0,0.0,0
0.2,0.25,,0.0,0.0,0,0.0,0
0.15,0.2,,0.0,0.0,0,0.0,0
0.1,0.15,,0.0,0.0,0,0.0,0
0.05,0.1,,0.0,0.0,0,0.0,0
0.0,0.05,,0.0,0.0,0,0.0,0
